Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PPARGC1A mouse	1/20	0.046942764	0.487351245	0	0	20.83333333	63.7255458	CYP11B2
RXRA human	1/20	0.046942764	0.478648544	0	0	20.83333333	63.7255458	HSD17B2
AHR mouse	1/22	0.051516621	0.516070009	0	0	18.93939394	56.17141644	CYP19A1
CTNNB1 human	1/22	0.051516621	0.50717225	0	0	18.93939394	56.17141644	AR
GATA4 mouse	1/22	0.051516621	0.49857611	0	0	18.93939394	56.17141644	STAR
E2F4 human	1/23	0.053795482	0.511953674	0	0	18.11594203	52.94503236	AR
SOX9 human	1/23	0.053795482	0.503560991	0	0	18.11594203	52.94503236	AR
FOXO1 human	1/24	0.056068982	0.516377242	0	0	17.36111111	50.02035618	AR
CREM human	1/25	0.058337134	0.528738148	0	0	16.66666667	47.35860747	STAR
PGR human	1/25	0.058337134	0.520476614	0	0	16.66666667	47.35860747	CYP19A1
STAT5A mouse	1/25	0.058337134	0.512469282	0	0	16.66666667	47.35860747	AR
RARA human	1/26	0.060599948	0.524281369	0	0	16.02564103	44.92726351	HSD17B2
NFIC human	1/27	0.062857438	0.53569548	0	0	15.43209877	42.6988581	CYP17A1
SREBF1 human	1/27	0.062857438	0.527817605	0	0	15.43209877	42.6988581	AR
ESR1 mouse	1/29	0.067356494	0.557399391	0	0	14.36781609	38.76086152	CYP19A1
LEF1 human	1/29	0.067356494	0.549436542	0	0	14.36781609	38.76086152	AR
YBX1 human	1/30	0.069598084	0.559725436	0	0	13.88888889	37.01414224	AR
SMAD3 human	1/31	0.071834399	0.569686689	0	0	13.44086022	35.39505146	CYP17A1
HSF1 human	1/31	0.071834399	0.561882762	0	0	13.44086022	35.39505146	HSD17B6
REST human	1/32	0.07406545	0.571505025	0	0	13.02083333	33.89070469	AR
HNF4A mouse	1/36	0.082937262	0.631429025	0	0	11.57407407	28.81563462	SHBG
STAT6 human	1/36	0.082937262	0.623120748	0	0	11.57407407	28.81563462	HSD3B2
MYB human	1/37	0.085142178	0.631379007	0	0	11.26126126	27.74135968	DHRS2
NR3C1 human	1/38	0.087341902	0.639387514	0	0	10.96491228	26.73163325	CYP19A1
POU2F1 human	1/38	0.087341902	0.631294002	0	0	10.96491228	26.73163325	AR
GATA3 human	1/38	0.087341902	0.623402827	0	0	10.96491228	26.73163325	HSD17B1
HNF4A human	1/45	0.102595623	0.72323581	0	0	9.259259259	21.08296305	SHBG
USF2 human	1/47	0.106907786	0.744443242	0	0	8.865248227	19.82082118	CYP19A1
FOS mouse	1/56	0.126062767	0.867251083	0	0	7.44047619	15.40904275	STAR
BRCA1 human	1/57	0.128166102	0.871224339	0	0	7.30994152	15.01774986	CYP19A1
FOS human	1/57	0.128166102	0.860974641	0	0	7.30994152	15.01774986	STAR
CTNNB1 mouse	1/62	0.138608654	0.920296993	0	0	6.720430108	13.28024702	CYP19A1
USF1 human	1/65	0.144815293	0.950454397	0	0	6.41025641	12.38651402	CYP19A1
HDAC1 human	1/71	0.157097487	1	0	0	5.868544601	10.86202306	AR
RELA human	2/301	0.162752455	1	0	0	2.76854928	5.026370189	AR;CYP19A1
NFKB1 human	2/303	0.164446023	1	0	0	2.750275028	4.964721923	AR;CYP19A1
HIF1A human	1/83	0.181145932	1	0	0	5.020080321	8.576567853	AR
SP3 mouse	1/83	0.181145932	1	0	0	5.020080321	8.576567853	STAR
EGR1 human	1/88	0.190966652	1	0	0	4.734848485	7.839282495	AR
AR human	1/93	0.200672014	1	0	0	4.480286738	7.195714485	SRD5A3
RELA mouse	1/121	0.252951544	1	0	0	3.443526171	4.733324156	CYP11A1
E2F1 human	1/134	0.276071429	1	0	0	3.109452736	4.002163082	AR
NFKB1 mouse	1/200	0.383061406	1	0	0	2.083333333	1.999083278	CYP11A1
